STUSAB,COUNTY,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
WV,19.0,1713569360,17443841,Fayette,Fayette County,A,40488,19089,38.0309328,-81.0860508,06,40488,38580,36483,1680,104,105,2,206,1908,1830,404,812,49,13,510,20,5,2,7,0,4,0,0,2,2,77,24,13,4,14,3,2,11,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40488,525,39963,38290,36308,1662,100,105,1,114,1673,1613,394,801,47,13,316,20,5,2,7,0,4,0,0,2,2,59,24,13,4,9,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32082,30802,29093,1393,85,85,2,144,1280,1239,132,657,26,13,382,16,5,2,0,0,4,0,0,0,2,41,18,2,4,6,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32082,357,31725,30602,28972,1382,85,85,1,77,1123,1088,128,654,26,13,238,16,5,2,0,0,4,0,0,0,2,35,18,2,4,5,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19089,16441,2648,1485,1472,1058,36,378,0,13,0,0,13
WV,21.0,876717629,4082112,Gilmer,Gilmer County,A,7408,3090,38.9158671,-80.8494132,06,7408,7211,6220,937,11,31,3,9,197,177,14,103,10,0,42,0,0,0,1,0,3,2,0,2,0,10,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7408,244,7164,6991,6026,923,11,30,0,1,173,167,14,103,10,0,33,0,0,0,1,0,3,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6276,6121,5139,933,11,28,3,7,155,142,7,87,10,0,30,0,0,0,1,0,3,2,0,2,0,9,0,0,0,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6276,218,6058,5919,4957,922,11,28,0,1,139,137,7,87,10,0,26,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3090,2522,568,1633,1509,1440,0,69,0,124,124,0,0
WV,23.0,1236387822,7546060,Grant,Grant County,A,10976,5598,39.1059882,-79.195064,06,10976,10673,10489,85,21,24,0,54,303,297,61,151,20,2,56,6,0,0,1,0,0,0,0,0,0,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10976,91,10885,10611,10463,83,21,24,0,20,274,268,61,146,20,2,32,6,0,0,1,0,0,0,0,0,0,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8922,8682,8548,63,13,24,0,34,240,235,44,121,17,1,45,6,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8922,66,8856,8636,8522,61,13,24,0,16,220,215,44,117,17,1,29,6,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5598,4751,847,127,95,0,0,95,0,32,0,0,32
WV,25.0,2641303514,12164256,Greenbrier,Greenbrier County,A,32977,17807,37.9244177,-80.4505897,06,32977,31661,30360,792,70,198,6,235,1316,1239,306,443,76,10,371,1,0,0,19,1,0,4,0,8,0,74,44,0,2,8,3,2,7,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32977,571,32406,31305,30199,766,55,192,5,88,1101,1040,298,434,76,10,201,1,0,0,8,1,0,3,0,8,0,58,37,0,2,1,3,2,5,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26614,25752,24706,655,67,170,1,153,862,805,111,364,39,4,270,0,0,0,11,0,0,4,0,2,0,54,34,0,0,6,3,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26614,405,26209,25490,24589,637,52,166,1,45,719,673,111,358,39,4,155,0,0,0,1,0,0,3,0,2,0,43,28,0,0,1,3,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17807,14414,3393,401,320,0,20,300,0,81,0,0,81
WV,27.0,1658633561,10902927,Hampshire,Hampshire County,A,23093,12416,39.3121395,-78.6119886,06,23093,22216,21775,188,35,61,4,153,877,826,144,342,54,6,262,6,3,0,8,0,1,0,0,0,0,36,15,2,0,7,0,0,3,5,3,0,0,0,0,1,0,0,0,0,0,0,11,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,23093,337,22756,22002,21655,178,30,61,4,74,754,725,141,327,54,6,179,6,3,0,8,0,1,0,0,0,0,28,13,2,0,3,0,0,3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18579,17978,17640,139,32,52,1,114,601,568,43,284,36,6,187,6,3,0,2,0,1,0,0,0,0,25,11,2,0,3,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18579,213,18366,17834,17565,135,27,52,1,54,532,509,43,277,36,6,135,6,3,0,2,0,1,0,0,0,0,23,11,2,0,3,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12416,9612,2804,410,376,251,41,84,0,34,0,0,34
WV,29.0,213957099,13879340,Hancock,Hancock County,A,29095,14241,40.5169584,-80.5701643,06,29095,27645,26661,703,36,110,9,126,1450,1399,326,423,68,4,541,5,0,0,22,1,3,5,0,1,0,47,18,2,2,2,7,0,4,7,0,0,4,0,0,1,0,0,0,0,0,0,4,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29095,424,28671,27402,26484,695,31,110,8,74,1269,1220,325,416,63,3,387,5,0,0,16,1,3,0,0,1,0,46,17,2,2,2,7,0,4,7,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23688,22768,22010,561,26,97,0,74,920,883,102,333,45,4,385,2,0,0,7,1,0,4,0,0,0,36,14,2,2,0,7,0,4,2,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23688,286,23402,22605,21887,556,25,97,0,40,797,761,101,326,40,3,281,2,0,0,7,1,0,0,0,0,0,35,13,2,2,0,7,0,4,2,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14241,12798,1443,274,249,0,0,249,0,25,0,0,25
WV,31.0,1508190150,5624064,Hardy,Hardy County,A,14299,8127,39.0113612,-78.8417292,06,14299,13668,12835,414,35,59,0,325,631,590,98,200,12,3,252,3,0,0,21,0,1,0,0,0,0,39,16,9,0,0,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14299,659,13640,13188,12685,403,16,53,0,31,452,414,96,197,12,0,101,3,0,0,4,0,1,0,0,0,0,36,15,9,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11275,10873,10263,319,31,50,0,210,402,381,47,144,7,3,160,1,0,0,18,0,1,0,0,0,0,21,12,3,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11275,421,10854,10561,10174,312,16,44,0,15,293,274,47,141,7,0,73,1,0,0,4,0,1,0,0,0,0,19,11,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8127,5993,2134,75,47,0,0,47,0,28,0,0,28
WV,33.0,1077456355,1318839,Harrison,Harrison County,A,65921,30480,39.279182,-80.3864982,06,65921,62513,60334,1118,157,489,28,387,3408,3265,668,1102,184,26,1231,17,2,0,30,0,0,1,2,2,0,132,73,0,0,16,7,8,16,9,1,0,0,0,2,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,65921,1403,64518,61770,59862,1104,135,489,28,152,2748,2644,652,1076,174,26,679,17,0,0,15,0,0,1,2,2,0,93,63,0,0,11,1,8,0,9,1,0,0,0,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,52001,49836,48132,890,125,386,21,282,2165,2098,232,837,87,21,885,16,0,0,17,0,0,1,2,0,0,65,37,0,0,2,0,4,13,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,52001,972,51029,49304,47809,878,110,386,21,100,1725,1678,228,821,82,21,503,16,0,0,4,0,0,1,2,0,0,45,31,0,0,1,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,30480,27358,3122,930,599,0,60,539,0,331,207,0,124
WV,35.0,1202685109,18828941,Jackson,Jackson County,A,27791,12888,38.8342339,-81.6777168,06,27791,26883,26516,101,46,91,2,127,908,882,146,454,43,0,226,5,1,0,6,0,0,0,0,0,1,24,6,4,0,3,3,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27791,230,27561,26709,26411,100,43,91,2,62,852,828,146,449,43,0,179,4,1,0,6,0,0,0,0,0,0,23,6,4,0,3,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21854,21257,21024,66,37,68,1,61,597,583,53,356,23,0,143,1,1,0,6,0,0,0,0,0,0,13,4,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21854,145,21709,21141,20949,65,34,68,1,24,568,554,53,355,23,0,116,0,1,0,6,0,0,0,0,0,0,13,4,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12888,11541,1347,137,137,0,0,137,0,0,0,0,0
WV,37.0,542072983,6150170,Jefferson,Jefferson County,A,57701,23762,39.3073985,-77.86322,06,57701,52964,46825,3459,141,837,13,1689,4737,4443,998,1017,438,42,1765,34,29,2,80,2,1,14,6,6,9,274,99,18,0,32,38,0,57,11,2,9,0,0,3,1,0,0,4,0,0,0,19,0,0,13,2,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,57701,4137,53564,50398,45784,3379,104,817,10,304,3166,2997,976,955,423,42,484,32,24,2,37,2,1,0,6,6,7,161,83,15,0,7,30,0,3,11,0,8,0,0,3,1,0,0,0,0,0,0,7,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,44965,42177,37353,2822,127,695,11,1169,2788,2624,370,760,202,30,1151,30,11,0,36,2,0,13,5,6,8,153,54,8,0,23,7,0,41,8,2,6,0,0,3,1,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,44965,2612,42353,40522,36770,2776,90,680,10,196,1831,1739,364,730,200,30,346,28,6,0,15,2,0,0,5,6,7,89,50,8,0,7,3,0,3,8,0,6,0,0,3,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23762,21902,1860,1069,218,0,0,218,0,851,771,0,80
WV,39.0,2335256702,24015465,Kanawha,Kanawha County,A,180745,90294,38.3280675,-81.5235156,06,180745,171180,153637,13592,402,2149,51,1349,9565,9048,3073,3051,616,43,1787,176,49,14,184,2,1,10,32,10,0,463,259,49,10,50,10,3,58,15,2,0,0,2,1,0,0,0,3,0,1,0,49,17,0,15,0,4,3,3,6,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,0,180745,2720,178025,169426,152735,13416,357,2138,47,733,8599,8183,3019,2989,605,43,1082,176,49,13,163,1,1,0,32,10,0,384,248,49,10,31,9,3,16,15,0,0,0,2,0,0,0,0,0,0,1,0,27,11,0,6,0,4,3,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,145391,139531,126010,10518,341,1752,36,874,5860,5604,1123,2438,320,27,1374,148,29,9,86,1,1,10,28,10,0,221,146,10,0,19,3,1,33,7,0,0,0,2,0,0,0,0,0,0,0,0,30,6,0,14,0,4,3,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,145391,1826,143565,138336,125400,10419,310,1744,32,431,5229,5014,1108,2406,314,27,864,148,29,9,69,1,1,0,28,10,0,188,144,10,0,13,2,1,9,7,0,0,0,2,0,0,0,0,0,0,0,0,22,6,0,6,0,4,3,3,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,90294,79365,10929,3118,1646,547,47,1025,27,1472,910,0,562
WV,41.0,1002143596,7036534,Lewis,Lewis County,A,17033,8204,38.9888773,-80.4954773,06,17033,16366,16162,69,23,58,8,46,667,655,76,327,40,5,196,2,0,0,3,0,0,3,3,0,0,9,0,3,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17033,191,16842,16261,16088,66,19,58,7,23,581,575,72,312,40,5,141,2,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13500,13053,12889,53,23,48,7,33,447,443,29,244,25,4,136,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13500,118,13382,12979,12837,53,19,48,7,15,403,399,26,236,25,4,103,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8204,7112,1092,221,74,0,8,66,0,147,0,0,147
WV,43.0,1132065764,4053564,Lincoln,Lincoln County,A,20463,9549,38.1717696,-82.0776231,06,20463,19935,19793,49,22,26,0,45,528,495,81,293,10,2,101,3,0,0,5,0,0,0,0,0,0,30,14,7,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20463,171,20292,19815,19702,44,22,26,0,21,477,451,79,284,10,2,69,3,0,0,4,0,0,0,0,0,0,25,13,7,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15918,15531,15442,30,22,19,0,18,387,359,32,238,9,1,71,3,0,0,5,0,0,0,0,0,0,27,14,4,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15918,115,15803,15441,15367,27,22,19,0,6,362,339,32,233,9,1,57,3,0,0,4,0,0,0,0,0,0,22,13,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9549,8205,1344,62,54,0,0,54,0,8,0,0,8
WV,45.0,1175120719,4748336,Logan,Logan County,A,32567,14738,37.8305905,-81.940853,06,32567,31639,30884,581,42,67,1,64,928,893,184,419,16,5,267,0,0,0,2,0,0,0,0,0,0,30,20,3,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,3,32567,224,32343,31504,30785,580,41,63,1,34,839,811,183,408,16,5,197,0,0,0,2,0,0,0,0,0,0,25,20,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26129,25487,24870,485,37,54,0,41,642,620,70,334,8,0,208,0,0,0,0,0,0,0,0,0,0,20,12,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,26129,168,25961,25385,24795,484,36,50,0,20,576,561,69,323,8,0,161,0,0,0,0,0,0,0,0,0,0,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14738,13033,1705,762,670,449,11,210,0,92,0,0,92
WV,47.0,1381648569,3731571,McDowell,McDowell County,A,19111,9344,37.3827604,-81.658204,06,19111,18460,16195,2163,22,20,4,56,651,634,173,348,10,3,78,14,0,2,5,0,0,1,0,0,0,11,6,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19111,390,18721,18099,15871,2139,20,20,4,45,622,609,171,345,8,1,64,14,0,2,4,0,0,0,0,0,0,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15723,15286,13278,1922,16,20,4,46,437,429,75,280,0,3,59,8,0,1,3,0,0,0,0,0,0,6,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15723,365,15358,14939,12966,1900,14,20,4,35,419,413,75,280,0,1,45,8,0,1,3,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9344,7483,1861,2005,2005,1881,15,109,0,0,0,0,0
WV,49.0,799667746,7160908,Marion,Marion County,A,56205,26280,39.5058387,-80.2434018,06,56205,53083,50578,1867,139,256,43,200,3122,2999,669,1117,181,20,916,50,0,0,31,2,0,3,3,7,0,112,62,3,0,11,4,0,15,13,4,0,0,0,0,0,0,0,0,0,0,0,10,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,56205,875,55330,52601,50223,1844,119,256,43,116,2729,2628,658,1097,181,20,597,50,0,0,11,1,0,3,3,7,0,97,62,3,0,8,4,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44894,42842,40899,1441,121,202,34,145,2052,1984,280,857,93,11,679,36,0,0,20,0,0,3,3,2,0,59,39,0,0,2,4,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,9,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44894,619,44275,42475,40630,1427,110,202,34,72,1800,1746,274,844,93,11,473,36,0,0,7,0,0,3,3,2,0,50,39,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26280,23223,3057,1532,500,0,53,447,0,1032,905,0,127
WV,51.0,791063472,17411505,Marshall,Marshall County,A,30591,14728,39.8544259,-80.6717944,06,30591,29344,28797,264,39,108,7,129,1247,1207,163,485,55,2,484,0,2,7,4,1,0,0,4,0,0,36,10,3,7,7,4,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30591,354,30237,29142,28669,260,34,108,7,64,1095,1064,154,483,55,2,354,0,0,7,4,1,0,0,4,0,0,28,10,3,2,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24723,23897,23447,225,33,89,7,96,826,802,60,364,26,0,339,0,2,7,0,1,0,0,3,0,0,21,4,0,6,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24723,258,24465,23732,23341,221,28,89,7,46,733,716,59,364,26,0,256,0,0,7,0,1,0,0,3,0,0,15,4,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14728,12940,1788,851,782,582,0,191,9,69,0,0,69
WV,53.0,1115683500,36124377,Mason,Mason County,A,25453,12153,38.770914,-82.0290067,06,25453,24761,24401,193,39,83,5,40,692,677,159,301,32,8,169,1,5,0,0,0,0,0,0,0,2,15,2,3,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25453,170,25283,24646,24322,193,32,74,5,20,637,626,156,295,32,8,129,1,5,0,0,0,0,0,0,0,0,11,2,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20215,19781,19518,133,38,57,0,35,434,428,41,249,14,3,118,1,0,0,0,0,0,0,0,0,2,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20215,118,20097,19696,19464,133,32,48,0,19,401,397,38,243,14,3,98,1,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12153,10570,1583,749,724,562,0,162,0,25,0,0,25
